img,name,option,component
/자연은/images/제품소개/요거상큼복숭아.png,자연은 요거상큼 복숭아,340mL PET 1.5L PET,"복숭아농축액 0.4%(고형분 70%) [복숭아과즙 4%], 탈지분유 0.6%"
/자연은/images/제품소개/요거새콤파인애플.png,자연은 요거풋풋 사과," 340mL PET
 1.5L PET","사과농축액 0.572%(고형분 70%) [사과과즙 4%], 탈지분유 0.6%"
/자연은/images/제품소개/요거풋풋사과.png,자연은 요거새콤 파인애플,340mL PET 1.5L PET," 파인애플농축액 0.8%(고형분 60%) [파인애플과즙 4%], 탈지분유 0.6%"
