img,name,option,component
/자연은/images/제품소개/잘자란유기농오렌지.png,자연은 잘자란유기농 오렌지,100mL 파우치,유기농 오렌지과즙 62%
/자연은/images/제품소개/잘자란유기농포도.png,자연은 잘자란유기농 포도,100mL 파우치,유기농 포도과즙 80%
/자연은/images/제품소개/배도라지.png,자연은 잘자란 배도라지,100mL 파우치,"배농축액 16 %(고형분 72 %)[배과즙 100 %], 대추농축액 1.66 %(고형분 60 %), 도라지농축액 0.1"
